Hops,Average Alpha Acids
Amarillo,9.5
Aquila,7
B. C. Goldings,5
Banner,10
Bramling Cross,6.5
Brewer’s Gold,9
Bullion,7.5
Cascade,6
Centennial,10.5
Challenger,8.5
Chinook,13
Cluster,6.5
Columbus,15
Comet,10
Crystal,3
Domesic Hallertau,3.9
East Kent Goldings,5
Eroica,12
First Gold,7.5
Fuggles,4.8
Galena,13
Glacier,5.5
Goldings,5
Hallertau Mittelfruh,3.75
Hallertau Hersbrucker,4
Herald,12
Hersbrucker,4
Horizon,12.5
Huller Bitterer,5.75
Kent Goldings,5
Liberty,4
Lublin,4.5
Magnum,14
Millenium,15.5
Mount Hood,5
Newport,15.5
Northdown,8.6
Northern Brewer,8.5
Nugget,13
Olympic,12
Omega,10
Orion,7
Pacific Gem,15
Perle,9
Phoenix,10
Pioneer,9
Pride of Ringwood,10
Progress,6.25
Record,6.5
Saaz,3.8
Santiam,6.5
Satus,13
Simcoe,13
Spalt*,4.5
Sterling,5.5
Sticklebract,11.5
Strisselspalt,3.5
Styrian Goldings,5.5
Super Alpha,13
Super Styrians,9
Talisman,8
Target,11.5
Tettnanger,4.5
Tomahawk,15
Ultra,4.5
Vanguard,5
Warrior,16
Whitbread Golding,6
Willamette,5.5
Wye Target,10
Yamhill Goldings,4
Yakima Cluster,7
Yeoman,7.25
Zenith,9
Zeus,15
